
grupo1,usuario1
grupo2,usuario2
grupo3,usuario3
grupo4,usuario4
grupo5,usuario5
grupo1,usuario6
grupo2,usuario7
grupo3,usuario8
grupo4,usuario9
grupo5,usuario10
grupo1,usuario11
grupo2,usuario12
grupo3,usuario13
grupo4,usuario14
grupo5,usuario15
grupo1,usuario16
grupo2,usuario17
grupo3,usuario18
grupo4,usuario19
grupo5,usuario20
grupo1,usuario21
grupo2,usuario22
grupo3,usuario23
grupo4,usuario24
grupo5,usuario25
grupo1,usuario26
grupo2,usuario27
grupo3,usuario28
grupo4,usuario29
grupo5,usuario30
grupo6,usuario31
grupo7,usuario32
grupo8,usuario33
grupo9,usuario34
grupo10,usuario35
grupo11,usuario36
grupo12,usuario37
grupo13,usuario38
grupo14,usuario39
grupo15,usuario40
